"x"
"KLK3"
"MSMB"
"MSMB"
"MSMB"
"NCOA4P1"
"NCOA4P3"
"WBSCR27"
"UPK3A"
"ZNF266"
"NUDT13"
"BACE2"
"ARHGAP12"
"FAM104A"
"FMO4"
"EFHD1"
"ANKEF1"
"MPHOSPH6"
"MLPH"
"TRDMT1"
"RERE"
"FAM96B"
"ABR"
"NDUFA9"
"PCYOX1L"
"GIPC2"
"TDRKH"
"NAALADL2"
"CPD"
"CAPZB"
"WTAP"
"PSMB7"
"ARL6IP5"
"MYB"
"DNAH14"
"PMVK"
"TNK2"
"LGMN"
"PDCD4"
"LYVE1"
"GTPBP10"
"ZG16B"
"SOX9"
"RFX6"
"IRX4"
"KLK15"
"PVT1"
"MYC"
"MDM4"
"VAMP8"
"TERT"
"JAZF1"
"CTBP1"
"PCAT1"
"NUDT11"
"FOXP4"
"TFEB"
"GUCA1B"
"ZRANB1"
"SLC22A3"
"SP8"
"SMIM13"
"MMP7"
"OR13A1"
"HNF1B"
"DDX52"
"SYNRG"
"FAM57A"
"VPS53"
"GEMIN4"
"DBIL5P"
"AURKB"
"CHURC1"
"WDYHV1"
"PLOD2"
"RALB"
"GOT2"
"KRT86"
"ECHDC3"
"PYGB"
"MMP16"
"GPR180"
"RSBN1L"
"ASAH1"
"RPL22L1"
"AGR3"
"CLYBL"
"DUSP14"
"CTSK"
"CTSS"
"ARNT"
"CERS2"
"BORCS7"
"AS3MT"
"TMEM180"
"RPARP-AS1"
"SFXN2"
"C10orf95"
"NT5C2"
"ARL3"
"TRIM8"
"CTBP2"
"C11orf71"
"ASCL2"
"TUBA1B"
"TUBA1C"
"ZFP36L1"
"PPP1R14A"
"SPINT2"
"KCNK6"
"CATSPERG"
"PCAT19"
"CEACAM21"
"KLK11"
"C19orf48"
"KLK2"
"ITGA6"
"LDAH"
"GDF7"
"RAB17"
"SEPT2"
"BOK"
"EHBP1"
"TMEM17"
"GGCX"
"TMEM150A"
"USP39"
"VAMP5"
"GRHL1"
"KLF11"
"NOL10"
"ZGPAT"
"LIME1"
"TMPRSS2"
"ARFGAP3"
"BIK"
"NUDT10"
"FAM156A"
"GJB1"
"SLC7A3"
"SHROOM2"
"GPR143"
"CFAP44"
"SIDT1"
"RUVBL1"
"LOC90246"
"C3orf38"
"CHMP2B"
"RASSF6"
"BMPR1B"
"SESN1"
"RGS17"
"SLC22A2"
"ACAT2"
"LOC729603"
"MRPL18"
"HCG4"
"VARS2"
"TRIM26"
"TRIM31"
"HLA-L"
"HLA-F"
"HLA-A"
"NCR00171"
"HLA-E"
"HCG18"
"HCG4B"
"HLA-H"
"ZNRD1"
"PPP1R11"
"RNF39"
"HLA-G"
"ZFP57"
"LOC285830"
"PRR3"
"BHLHA15"
"LMTK2"
"BRI3"
"TECPR1"
"NKX3-1"
"SLC25A37"
"CHMP7"
"MBNL1"
"COL23A1"
"UHRF1BP1"
"HAUS6"
"UBE2R2"
"TOR1B"
"OLFML1"
"RAD9A"
"B3GAT1"
"WIF1"
"ATP2B1"
"P2RX2"
"PAX9"
"GUCY2D"
"POLI"
"TSHZ1"
"MYO9B"
"MAPRE1"
"PGD"
"SV2A"
"KCNN3"
"PIK3C2B"
"LOC284581"
"RAB29"
"LOC284578"
"NUCKS1"
"PLEKHH2"
"OTX1"
"PLCD1"
"VGLL3"
"ZBTB38"
"SKIL"
"PPA2"
"TRIP13"
"AHRR"
"HAPLN1"
"COMMD10"
"STC2"
"PSORS1C3"
"HCG27"
"PSORS1C1"
"HLA-C"
"MICA"
"HLA-DRB5"
"NOTCH4"
"HLA-DQB1"
"HLA-DRB6"
"HLA-DQA1"
"HLA-DRB1"
"VWA7"
"HLA-DQA2"
"HLA-DQB2"
"MCM3"
"MYO6"
"TSPYL1"
"HOTTIP"
"TNS3"
"EBF2"
"POU5F1B"
"PSMD5"
"NCOA4"
"AGAP7P"
"ATE1"
"FGFR2"
"DTX4"
"SUV420H1"
"COL2A1"
"KRT8"
"KRT18"
"TBX5"
"PIBF1"
"STYX"
"C14orf39"
"SYNJ2BP"
"MARVELD3"
"ZNF652"
"ATP9B"
"RPS9"
"SLC9A8"
"CABLES2"
"RPL3"
"TTLL12"
"STARD8"
"FAM83F"
"MYC"
"AR"
"ASNS"
"ATM"
"ATP5G1"
"BAIAP2L1"
"CALCOCO2"
"CCND1"
"CDKN1B"
"ENTPD4"
"GATA2"
"IGF2R"
"KLK4"
"KLKP1"
"LRRFIP1"
"MAGED1"
"PDLIM5"
"PHB"
"RAMP1"
"SEC61A1"
"SMARCAD1"
"ST3GAL5"
"TBC1D3"
"TTLL6"
"VSIG10L"
"HLA-F-AS1"
"MFSD4A-AS1"
