AR
ASNS
ATM
ATP5G1
BAIAP2L1
BHLHA15
BMPR1B
BRI3
C19orf48
CALCOCO2
CCND1
CDKN1B
CHMP2B
DDX52
ENTPD4
GATA2
IGF2R
KLK15
KLK2
KLK3
KLK4
KLKP1
LRRFIP1
MAGED1
MLPH
MMP7
MSMB
MYC
NAALADL2
NKX3-1
PDLIM5
PHB
RAMP1
SEC61A1
SMARCAD1
ST3GAL5
TBC1D3
TERT
TMPRSS2
TTLL6
VSIG10L
ZNF652
